p_lo,p_hi,theta_lo,theta_hi,threshold,n_label,eff_K,C_pi,C_p,n_accepted
0.5,1.4,5.0,15.0,0.45,233799,0.9481093635400538,0.09746715970211005,0.014164391141692028,166262
0.5,1.4,5.0,15.0,0.46,233799,0.9473012251106946,0.096466625643683,0.014029143480698624,165869
0.5,1.4,5.0,15.0,0.47000000000000003,233799,0.9464591312851438,0.09552982711178028,0.013899548566835677,165473
0.5,1.4,5.0,15.0,0.48000000000000004,233799,0.9457460679651211,0.0945129682247609,0.013787171146285762,165081
0.5,1.4,5.0,15.0,0.49,233799,0.9448292722679488,0.0935518969033208,0.01365121391355041,164674
0.5,1.4,5.0,15.0,0.5,233799,0.9439803873631597,0.09257494255274702,0.013478713495150951,164259
0.5,1.4,5.0,15.0,0.51,233799,0.9429481433189363,0.09160435189364946,0.013301346616366944,163818
0.5,1.4,5.0,15.0,0.52,233799,0.942140004889577,0.09066955068331531,0.013148556045031816,163440
0.5,1.4,5.0,15.0,0.53,233799,0.9410670143699237,0.08965254465546804,0.012963269713311125,162999
0.5,1.4,5.0,15.0,0.54,233799,0.9400415614049384,0.08866884805551349,0.012843540093004946,162572
0.5,1.4,5.0,15.0,0.55,233799,0.9391247657077663,0.08761743903726381,0.01268032144861571,162141
0.5,1.4,5.0,15.0,0.56,233799,0.9381264770597343,0.08657444754486425,0.012499768064669755,161683
0.5,1.4,5.0,15.0,0.5700000000000001,233799,0.9371757259663706,0.08537741163683119,0.01228264982661613,161203
0.5,1.4,5.0,15.0,0.5800000000000001,233799,0.9358990030695679,0.08439634324590077,0.01217554687305577,160732
0.5,1.4,5.0,15.0,0.59,233799,0.9347241463613397,0.08329226219812716,0.012019995880998295,160233
0.5,1.4,5.0,15.0,0.6,233799,0.933535707494635,0.08226348080941603,0.011829652996845425,159768
0.5,1.4,5.0,15.0,0.61,233799,0.932211447043164,0.08124062968515743,0.011678502137919343,159267
0.5,1.4,5.0,15.0,0.62,233799,0.9307785293238802,0.08014093959731544,0.011508951406649617,158746
0.5,1.4,5.0,15.0,0.63,233799,0.9294203134762177,0.0790603466838932,0.011349633159128682,158243
0.5,1.4,5.0,15.0,0.64,233799,0.9281300084209383,0.07796877740747238,0.011165639503918436,157716
0.5,1.4,5.0,15.0,0.65,233799,0.9265952245130796,0.07679035401104255,0.011013902586453727,157165
0.5,1.4,5.0,15.0,0.66,233799,0.9250740227636977,0.07579838660433812,0.010800735369216628,156656
0.5,1.4,5.0,15.0,0.67,233799,0.9234713280634559,0.07461823229986117,0.010596247109095219,156093
0.5,1.4,5.0,15.0,0.68,233799,0.9218618422839757,0.07352630034330018,0.010401064534169875,155561
0.5,1.4,5.0,15.0,0.6900000000000001,233799,0.9202184011083041,0.07245583171902059,0.010218168212723684,155018
0.5,1.4,5.0,15.0,0.7000000000000001,233799,0.9184255561893896,0.0715173318137817,0.009995727215050562,154466
0.5,1.4,5.0,15.0,0.7100000000000001,233799,0.9167006220628582,0.07024830388814271,0.009838323975878562,153888
0.5,1.4,5.0,15.0,0.72,233799,0.9129519463233097,0.06850055432372505,0.00961551049262309,152774
0.5,1.4,5.0,15.0,0.73,233799,0.9110096976611524,0.0673350343801492,0.009445247798080715,152140
0.5,1.4,5.0,15.0,0.74,233799,0.9088908809387988,0.0661084362570651,0.009285228765071174,151531
0.5,1.4,5.0,15.0,0.75,233799,0.9065343764431043,0.06473151729163164,0.008997838396965798,150814
0.5,1.4,5.0,15.0,0.76,233799,0.9039877217287371,0.0632041943770013,0.008815768431153047,150072
0.5,1.4,5.0,15.0,0.77,233799,0.9012237524787439,0.06188278041297601,0.008678881388621022,149328
0.5,1.4,5.0,15.0,0.78,233799,0.898595604813517,0.06051418955858651,0.008452448248943444,148596
0.5,1.4,5.0,15.0,0.79,233799,0.8957365604541874,0.058745031434871656,0.008283983621535651,147755
0.5,1.4,5.0,15.0,0.8,233799,0.8925583353706571,0.05720700687201412,0.008114142569296956,146904
0.5,1.4,5.0,15.0,0.81,233799,0.8890473474044495,0.05551587559249399,0.007912367955937359,145974
0.5,1.4,5.0,15.0,0.8200000000000001,233799,0.8853937467742373,0.05379278311609138,0.007682334767736953,145008
0.5,1.4,5.0,15.0,0.8300000000000001,233799,0.8813055170727732,0.05215644743088778,0.007522034769442342,143977
0.5,1.4,5.0,15.0,0.8400000000000001,233799,0.8764906418928096,0.050301322286075895,0.00733765097146858,142825
0.5,1.4,5.0,15.0,0.85,233799,0.8712003911661641,0.04801270444358693,0.007114948457250253,141533
0.5,1.4,5.0,15.0,0.86,233799,0.865027300138538,0.04588660928967889,0.006817435502063077,140082
0.5,1.4,5.0,15.0,0.87,233799,0.8579781598891696,0.04335019384540829,0.0065155991534055204,138437
0.5,1.4,5.0,15.0,0.88,233799,0.8493263249395594,0.04071395150836446,0.006210361343430053,136546
