p_low,p_high,theta_low,theta_high,best_threshold,C_base,C_plus,C_minus,delta_c_plus,delta_c_minus,delta_c_total,n_events
3.65,4.1,17.0,23.0,0.355050505050505,0.3215836903530802,0.3071731282373254,0.33865920859524273,0.01441056211575481,0.017075518242162524,0.031486080357917334,51797
4.1,4.55,17.0,23.0,0.307070707070707,0.4377009129484377,0.4240681723707912,0.4530853262474166,0.013632740577646518,0.015384413298978883,0.0290171538766254,23270
4.55,5.0,17.0,23.0,0.2207070707070706,0.5744073121965153,0.5647693039479943,0.5913312693498453,0.009638008248521013,0.01692395715332995,0.026561965401850962,8829
0.5,0.95,23.0,29.0,0.806060606060606,0.043022079021831174,0.038577302980202635,0.045993159052040065,0.004444776041628538,0.002971080030208892,0.00741585607183743,68326
0.95,1.4,23.0,29.0,0.7388888888888888,0.0772616794166732,0.06905790239508511,0.08354605111800086,0.008203777021588088,0.0062843717013276595,0.014488148722915747,140225
1.4,1.85,23.0,29.0,0.71010101010101,0.09024883755209241,0.08061818332619124,0.09854898009917701,0.009630654225901175,0.008300142547084596,0.01793079677298577,119779
1.85,2.3,23.0,29.0,0.6909090909090909,0.10283563362609786,0.09172181988287882,0.11148203032128841,0.011113813743219042,0.008646396695190545,0.019760210438409587,91732
2.3,2.75,23.0,29.0,0.6429292929292929,0.11998145572554474,0.1098894795212054,0.1284034038555349,0.01009197620433934,0.008421948129990156,0.018513924334329496,79698
2.75,3.2,23.0,29.0,0.5277777777777778,0.15846561501696343,0.14810447799451465,0.16881498873927836,0.010361137022448785,0.010349373722314925,0.02071051074476371,58714
3.2,3.65,23.0,29.0,0.4318181818181817,0.23326625714890914,0.2198947076752563,0.2449632073077899,0.01337154947365285,0.011696950158880753,0.025068499632533603,27099
3.65,4.1,23.0,29.0,0.3646464646464646,0.36207849640685463,0.347495614889885,0.37717770034843207,0.014582881516969626,0.015099203941577433,0.02968208545854706,7866
4.1,4.55,23.0,29.0,0.3454545454545454,0.5597691673536686,0.5509300265721878,0.5681995323460639,0.008839140781480737,0.008430364992395356,0.017269505773876093,1701
4.55,5.0,23.0,29.0,0.4414141414141413,0.647887323943662,0.6432160804020101,0.6577777777777778,0.004671243541651937,0.009890453834115798,0.014561697375767735,312
0.5,0.95,29.0,35.0,0.7964646464646464,0.05649299262246956,0.05215926734914077,0.05904857790083061,0.004333725273328794,0.0025555852783610486,0.006889310551689842,54446
0.95,1.4,29.0,35.0,0.5469696969696969,0.0612389042664885,0.05906164462778056,0.06295440775522569,0.0021772596387079415,0.0017155034887371898,0.0038927631274451313,65874
1.4,1.85,29.0,35.0,0.4510101010101009,0.07407197827071073,0.06946846535224259,0.07917709202112871,0.004603512918468139,0.005105113750417986,0.009708626668886125,45867
1.85,2.3,29.0,35.0,0.4702020202020202,0.09004028117842193,0.07890300563299206,0.10033994117871739,0.01113727554542987,0.01029966000029546,0.02143693554572533,34312
2.3,2.75,29.0,35.0,0.4414141414141413,0.11440250302785628,0.10331118899408903,0.1279577191621412,0.011091314033767244,0.013555216134284911,0.024646530168052155,27008
2.75,3.2,29.0,35.0,0.5085858585858586,0.19984214680347276,0.18412751120703968,0.21714285714285714,0.015714635596433074,0.01730071033938438,0.03301534593581745,10118
3.2,3.65,29.0,35.0,0.5373737373737373,0.3872,0.35714285714285715,0.42550143266475643,0.030057142857142838,0.03830143266475644,0.06835857552189928,1262
3.65,4.1,29.0,35.0,0.3742424242424242,0.5342465753424658,0.5211267605633803,0.5405405405405406,0.013119814779085526,0.006293965198074791,0.019413779977160317,102
4.1,4.55,29.0,35.0,0.4893939393939394,0.3,0.19230769230769232,0.3125,0.10769230769230767,0.012500000000000011,0.12019230769230768,47
4.55,5.0,29.0,35.0,0.3742424242424242,0.4,0.4,0.5714285714285714,0.0,0.17142857142857137,0.17142857142857137,11
