theta_low,theta_high,p_low,p_high,mis_id,eff
5.0,35.0,1.0,1.4,0.008050603795284647,0.4870615296147211
5.0,35.0,1.4,1.8,0.004372540445999125,0.45386969829470925
5.0,35.0,1.8,2.2,0.013089474627936167,0.3657880580957504
5.0,35.0,2.2,2.6,0.024007663294019037,0.44051966712566604
5.0,35.0,2.6,3.0,0.032643078428175445,0.5416924832871352
5.0,35.0,3.0,3.4000000000000004,0.04100570568687692,0.6009467678224341
5.0,35.0,3.4000000000000004,3.8000000000000003,0.05441225196038729,0.6399145896992232
5.0,35.0,3.8000000000000003,4.2,0.06845886442641946,0.6741135573580533
5.0,35.0,4.2,4.6,0.08765381699422639,0.6960984428763048
5.0,35.0,4.6,5.0,0.11260709914320685,0.6901144790841673
