p_lo,p_hi,theta_lo,theta_hi,n_data,n_mc,weight
2.6,2.9,13.0,15.0,26195,17120,1.5300817757009346
2.6,2.9,15.0,17.0,25152,16128,1.5595238095238095
2.6,2.9,17.0,19.0,23004,14345,1.603624956430812
2.6,2.9,19.0,21.0,19736,12119,1.628517204389801
2.6,2.9,21.0,23.0,16494,9908,1.664715381509891
2.6,2.9,23.0,25.0,12654,7497,1.687875150060024
2.6,2.9,25.0,27.0,9383,5556,1.6888048956083512
2.6,2.9,27.0,29.0,6817,3730,1.8276139410187668
2.6,2.9,29.0,31.0,4814,2486,1.9364440868865647
2.6,2.9,31.0,33.0,2987,1448,2.0628453038674035
2.6,2.9,33.0,35.0,1425,567,2.513227513227513
2.9,3.1999999999999997,5.0,7.0,6301,4388,1.435961713764813
2.9,3.1999999999999997,7.0,9.0,15349,10411,1.474306022476227
2.9,3.1999999999999997,9.0,11.0,18973,12619,1.5035264284016165
2.9,3.1999999999999997,11.0,13.0,20818,13472,1.5452790973871735
2.9,3.1999999999999997,13.0,15.0,20774,13613,1.526041284066701
2.9,3.1999999999999997,15.0,17.0,19251,12499,1.5402032162573005
2.9,3.1999999999999997,17.0,19.0,17051,10849,1.5716655912987372
2.9,3.1999999999999997,19.0,21.0,14455,8891,1.6258013721741087
2.9,3.1999999999999997,21.0,23.0,11375,6864,1.6571969696969697
2.9,3.1999999999999997,23.0,25.0,8453,5306,1.5931021485111194
2.9,3.1999999999999997,25.0,27.0,5940,3603,1.6486261448792672
2.9,3.1999999999999997,27.0,29.0,3912,2230,1.7542600896860987
2.9,3.1999999999999997,29.0,31.0,2537,1334,1.9017991004497752
2.9,3.1999999999999997,31.0,33.0,1411,532,2.6522556390977443
2.9,3.1999999999999997,33.0,35.0,600,166,3.6144578313253013
3.1999999999999997,3.5,5.0,7.0,5284,3625,1.4576551724137932
3.1999999999999997,3.5,7.0,9.0,12574,8493,1.4805133639467798
3.1999999999999997,3.5,9.0,11.0,15193,10075,1.5079900744416874
3.1999999999999997,3.5,11.0,13.0,16614,10359,1.6038227628149435
3.1999999999999997,3.5,13.0,15.0,16221,10175,1.5942014742014743
3.1999999999999997,3.5,15.0,17.0,14638,8693,1.6838835844932705
3.1999999999999997,3.5,17.0,19.0,12779,7603,1.6807839010916743
3.1999999999999997,3.5,19.0,21.0,10207,5913,1.7261965161508541
3.1999999999999997,3.5,21.0,23.0,7773,4446,1.7483130904183535
3.1999999999999997,3.5,23.0,25.0,5279,3084,1.7117380025940336
3.1999999999999997,3.5,25.0,27.0,3412,2005,1.7017456359102245
3.1999999999999997,3.5,27.0,29.0,2137,1084,1.9714022140221403
3.1999999999999997,3.5,29.0,31.0,1148,498,2.3052208835341363
3.1999999999999997,3.5,31.0,33.0,533,176,3.028409090909091
3.1999999999999997,3.5,33.0,35.0,249,35,7.114285714285714
3.5,3.8,5.0,7.0,4353,3093,1.4073714839961202
3.5,3.8,7.0,9.0,10476,6765,1.548558758314856
3.5,3.8,9.0,11.0,12605,7962,1.583144938457674
3.5,3.8,11.0,13.0,13464,8144,1.6532416502946954
3.5,3.8,13.0,15.0,12967,7443,1.74217385462851
3.5,3.8,15.0,17.0,11582,6291,1.841042759497695
3.5,3.8,17.0,19.0,9351,4957,1.8864232398628202
3.5,3.8,19.0,21.0,7103,3709,1.9150714478296036
3.5,3.8,21.0,23.0,4894,2745,1.7828779599271403
3.5,3.8,23.0,25.0,3245,1721,1.885531667635096
3.5,3.8,25.0,27.0,1931,1002,1.9271457085828343
3.5,3.8,27.0,29.0,993,445,2.2314606741573035
3.5,3.8,29.0,31.0,447,169,2.6449704142011834
3.5,3.8,31.0,33.0,183,40,4.575
3.5,3.8,33.0,35.0,93,7,13.285714285714286
3.8,4.1,5.0,7.0,3633,2402,1.5124895920066612
3.8,4.1,7.0,9.0,8598,5410,1.589279112754159
3.8,4.1,9.0,11.0,10199,6246,1.632885046429715
3.8,4.1,11.0,13.0,10762,6229,1.727725156525927
3.8,4.1,13.0,15.0,10395,5410,1.921441774491682
3.8,4.1,15.0,17.0,8745,4217,2.073749110742234
3.8,4.1,17.0,19.0,6803,3172,2.1447036569987388
3.8,4.1,19.0,21.0,4777,2273,2.1016278046634405
3.8,4.1,21.0,23.0,3071,1545,1.9877022653721683
3.8,4.1,23.0,25.0,1847,894,2.0659955257270695
3.8,4.1,25.0,27.0,977,416,2.3485576923076925
3.8,4.1,27.0,29.0,414,145,2.8551724137931034
3.8,4.1,29.0,31.0,162,38,4.2631578947368425
3.8,4.1,31.0,33.0,69,4,17.25
3.8,4.1,33.0,35.0,19,2,9.5
4.1,4.4,5.0,7.0,3044,1954,1.557830092118731
4.1,4.4,7.0,9.0,7210,4338,1.6620562471184879
4.1,4.4,9.0,11.0,8592,4915,1.748118006103764
4.1,4.4,11.0,13.0,9159,4524,2.0245358090185674
4.1,4.4,13.0,15.0,8301,3770,2.2018567639257296
4.1,4.4,15.0,17.0,6451,2816,2.2908380681818183
4.1,4.4,17.0,19.0,4837,1949,2.48178553104156
4.1,4.4,19.0,21.0,2935,1195,2.4560669456066946
4.1,4.4,21.0,23.0,1807,747,2.4190093708165996
4.1,4.4,23.0,25.0,996,396,2.515151515151515
4.1,4.4,25.0,27.0,382,171,2.2339181286549707
4.1,4.4,27.0,29.0,137,48,2.8541666666666665
4.1,4.4,29.0,31.0,71,9,7.888888888888889
4.1,4.4,31.0,33.0,13,2,6.5
4.1,4.4,33.0,35.0,6,1,6.0
4.4,4.7,5.0,7.0,2578,1569,1.6430847673677502
4.4,4.7,7.0,9.0,5971,3371,1.77128448531593
4.4,4.7,9.0,11.0,7267,3597,2.0202946900194605
4.4,4.7,11.0,13.0,7192,3239,2.2204384069157146
4.4,4.7,13.0,15.0,6370,2568,2.480529595015576
4.4,4.7,15.0,17.0,4796,1816,2.640969162995595
4.4,4.7,17.0,19.0,3169,1125,2.8168888888888888
4.4,4.7,19.0,21.0,1910,638,2.993730407523511
4.4,4.7,21.0,23.0,920,392,2.3469387755102042
4.4,4.7,23.0,25.0,406,157,2.5859872611464967
4.4,4.7,25.0,27.0,139,46,3.0217391304347827
4.4,4.7,27.0,29.0,66,12,5.5
4.4,4.7,29.0,31.0,11,0,0.0
4.4,4.7,31.0,33.0,5,2,2.5
4.4,4.7,33.0,35.0,3,3,1.0
4.7,5.0,5.0,7.0,2188,1166,1.8765008576329332
4.7,5.0,7.0,9.0,5171,2528,2.0454905063291138
4.7,5.0,9.0,11.0,6012,2660,2.26015037593985
4.7,5.0,11.0,13.0,5867,2195,2.672892938496583
4.7,5.0,13.0,15.0,4743,1564,3.032608695652174
4.7,5.0,15.0,17.0,3300,1035,3.1884057971014492
4.7,5.0,17.0,19.0,1997,588,3.3962585034013606
4.7,5.0,19.0,21.0,1095,324,3.3796296296296298
4.7,5.0,21.0,23.0,474,153,3.0980392156862746
4.7,5.0,23.0,25.0,149,70,2.1285714285714286
4.7,5.0,25.0,27.0,66,25,2.64
4.7,5.0,27.0,29.0,23,2,11.5
4.7,5.0,29.0,31.0,2,1,2.0
4.7,5.0,31.0,33.0,2,1,2.0
4.7,5.0,33.0,35.0,1,0,0.0
