p_lo,p_hi,theta_lo,theta_hi,weight,n_events,n_pass,C_unweighted,C_weighted,percent_difference,C_difference,relative_drift
1.0,2.0,5.0,15.0,3.112672684654132,521628,310132,0.0817587349902622,0.0760994585094147,6.921922754212805,0.0056592764808475,0.06921922754212798
1.0,2.0,15.0,25.0,3.374104173962647,688928,406295,0.0835919713508657,0.0780617187480742,6.615770047555213,0.0055302526027915,0.06615770047555204
1.0,2.0,25.0,35.0,3.752493423350847,281376,196469,0.0763682820190462,0.0697038097615905,8.72675419854748,0.0066644722574557,0.08726754198547487
2.0,3.0,5.0,15.0,2.8012794127087823,630755,400150,0.1247882044233412,0.1218763678201168,2.333422951856951,0.0029118366032244,0.023334229518569394
2.0,3.0,15.0,25.0,3.013163394847659,584142,372617,0.1294009666762386,0.1251517332502605,3.283772552186311,0.004249233425978,0.03283772552186251
2.0,3.0,25.0,35.0,3.5862830302774613,156099,108870,0.1160925874896665,0.1124446323218585,3.1422808696832374,0.003647955167808,0.03142280869683181
3.0,5.0,5.0,15.0,3.0002987915541586,895800,518724,0.3131530447791118,0.2983708390805706,4.720441312958689,0.0147822056985412,0.047204413129586835
3.0,5.0,15.0,25.0,3.301489485981308,419823,265754,0.282505625503285,0.253675155758842,10.205272795216509,0.0288304697444429,0.10205272795216482
3.0,5.0,25.0,35.0,3.550595238095238,30708,20692,0.2516431471099942,0.2156568831294424,14.30051419791775,0.0359862639805517,0.1430051419791772
