p_lo,p_hi,theta_lo,theta_hi,n_data,n_mc,weight
1,2,5,15,1248244,401020,3.112672684654132
1,2,15,25,1869112,553958,3.374104173962647
1,2,25,35,1052717,280538,3.752493423350847
2,3,5,15,741804,264809,2.8012794127087823
2,3,15,25,778505,258368,3.013163394847659
2,3,25,35,255017,71109,3.5862830302774613
3,5,5,15,542238,180728,3.0002987915541586
3,5,15,25,339129,102720,3.301489485981308
3,5,25,35,39369,11088,3.550595238095238
