theta_lo,theta_hi,p_lo,p_hi,contamination_initial,contamination_initial_err,contamination_shifted,contamination_shifted_err,delta_c
5.0,8.333333333333334,2.5,2.75,0.21739130434782608,0.10726851386851498,0.22727272727272727,0.11259856688792325,0.009881422924901184
5.0,8.333333333333334,2.75,3.0,0.14285714285714285,0.057723002545840604,0.15555555555555556,0.06320216002281938,0.012698412698412709
5.0,8.333333333333334,3.0,3.25,0.08928571428571429,0.04167425829771567,0.07547169811320754,0.03913394399049141,0.013814016172506743
5.0,8.333333333333334,3.25,3.5,0.18181818181818182,0.06250469554112079,0.13333333333333333,0.05794846582402355,0.04848484848484849
5.0,8.333333333333334,3.5,3.75,0.2857142857142857,0.08099238707340584,0.2727272727272727,0.07944208159139117,0.012987012987012991
5.0,8.333333333333334,3.75,4.0,0.1891891891891892,0.07797812210420756,0.20588235294117646,0.08545206709264,0.01669316375198726
5.0,8.333333333333334,4.0,4.25,0.2549019607843137,0.07919657479174921,0.26666666666666666,0.08663817195385745,0.011764705882352955
5.0,8.333333333333334,4.25,4.5,0.23529411764705882,0.09245944094039715,0.2222222222222222,0.10029677042760443,0.01307189542483661
5.0,8.333333333333334,4.5,4.75,0.34782608695652173,0.142769055489597,0.3684210526315789,0.16289407676442277,0.020594965675057197
5.0,8.333333333333334,4.75,5.0,0.36363636363636365,0.150131422517231,0.23076923076923078,0.14781060351238812,0.13286713286713286
8.333333333333334,11.666666666666668,2.5,2.75,0.21428571428571427,0.09640022259026114,0.2222222222222222,0.12283795519834816,0.007936507936507936
8.333333333333334,11.666666666666668,2.75,3.0,0.13636363636363635,0.08392601657681777,0.06666666666666667,0.06885303726590962,0.06969696969696969
8.333333333333334,11.666666666666668,3.0,3.25,0.175,0.07169815199849992,0.125,0.06629126073623882,0.04999999999999999
8.333333333333334,11.666666666666668,3.25,3.5,0.21311475409836064,0.06510176806452572,0.22,0.07326663633605682,0.006885245901639359
8.333333333333334,11.666666666666668,3.5,3.75,0.21875,0.064541842351009,0.1896551724137931,0.06237045289031562,0.029094827586206906
8.333333333333334,11.666666666666668,3.75,4.0,0.2463768115942029,0.06671139929159361,0.2692307692307692,0.08106454886875891,0.022853957636566308
8.333333333333334,11.666666666666668,4.0,4.25,0.26785714285714285,0.07787405030798296,0.3181818181818182,0.09763353182405503,0.05032467532467533
8.333333333333334,11.666666666666668,4.25,4.5,0.3508771929824561,0.09119018082890745,0.3404255319148936,0.09853340233888849,0.010451661067562512
8.333333333333334,11.666666666666668,4.5,4.75,0.44,0.11256997823576231,0.5428571428571428,0.1546933390761184,0.10285714285714281
8.333333333333334,11.666666666666668,4.75,5.0,0.47368421052631576,0.13553606451772926,0.46153846153846156,0.1610728708735645,0.012145748987854199
11.666666666666668,15.0,2.5,2.75,0.2727272727272727,0.17763789471243532,0.25,0.19764235376052372,0.022727272727272707
11.666666666666668,15.0,2.75,3.0,0.08333333333333333,0.08673608331108885,0.0,0.0,0.08333333333333333
11.666666666666668,15.0,3.0,3.25,0.17857142857142858,0.08669717075493076,0.19047619047619047,0.10391328106475826,0.01190476190476189
11.666666666666668,15.0,3.25,3.5,0.22727272727272727,0.11259856688792325,0.21428571428571427,0.13633050220293252,0.012987012987012991
11.666666666666668,15.0,3.5,3.75,0.2777777777777778,0.14042361933428799,0.14285714285714285,0.1527207096642425,0.13492063492063494
11.666666666666668,15.0,3.75,4.0,0.42105263157894735,0.17745836429968936,0.4666666666666667,0.2136109305012963,0.04561403508771933
11.666666666666668,15.0,4.0,4.25,0.5333333333333333,0.23349200953891017,0.5555555555555556,0.3098740839015095,0.022222222222222254
11.666666666666668,15.0,4.25,4.5,0.5238095238095238,0.19495859646444152,0.6,0.25298221281347033,0.07619047619047614
11.666666666666668,15.0,4.5,4.75,0.4,0.19321835661585918,0.42857142857142855,0.29574238257529467,0.028571428571428525
11.666666666666668,15.0,4.75,5.0,0.5714285714285714,0.20678481841592738,0.5833333333333334,0.2774303382699747,0.011904761904761973
