p_low,p_high,theta_low,theta_high,best_threshold,C_base,C_plus,C_minus,delta_c_plus,delta_c_minus,delta_c_total,n_events,relative_drift
2.75,3.2,17.0,23.0,0.5565656565656565,0.1733695529655763,0.162202015237159,0.1845548172396167,0.0111675377284173,0.0111852642740404,0.0223528020024577,141139,0.12893153163344662
3.2,3.65,17.0,23.0,0.4510101010101009,0.2349232589423186,0.221489145183175,0.248983441302432,0.0134341137591435,0.0140601823601134,0.0274942961192569,97007,0.11703522351529975
3.65,4.1,17.0,23.0,0.355050505050505,0.3215836903530802,0.3071731282373254,0.3386592085952427,0.0144105621157548,0.0170755182421625,0.0314860803579173,51797,0.09790944411188084
4.1,4.55,17.0,23.0,0.307070707070707,0.4377009129484377,0.4240681723707912,0.4530853262474166,0.0136327405776465,0.0153844132989788,0.0290171538766254,23270,0.06629447875984598
4.55,5.0,17.0,23.0,0.2207070707070706,0.5744073121965153,0.5647693039479943,0.5913312693498453,0.009638008248521,0.0169239571533299,0.0265619654018509,8829,0.046242387305758324
0.5,0.95,23.0,29.0,0.806060606060606,0.0430220790218311,0.0385773029802026,0.04599315905204,0.0044447760416285,0.0029710800302088,0.0074158560718374,68326,0.1723732613682919
0.95,1.4,23.0,29.0,0.7388888888888888,0.0772616794166732,0.0690579023950851,0.0835460511180008,0.008203777021588,0.0062843717013276,0.0144881487229157,140225,0.1875204995840297
1.4,1.85,23.0,29.0,0.71010101010101,0.0902488375520924,0.0806181833261912,0.098548980099177,0.0096306542259011,0.0083001425470845,0.0179307967729857,119779,0.19868174770268804
1.85,2.3,23.0,29.0,0.6909090909090909,0.1028356336260978,0.0917218198828788,0.1114820303212884,0.011113813743219,0.0086463966951905,0.0197602104384095,91732,0.1921533396707221
2.3,2.75,23.0,29.0,0.6429292929292929,0.1199814557255447,0.1098894795212054,0.1284034038555349,0.0100919762043393,0.0084219481299901,0.0185139243343294,79698,0.15430654864431426
2.75,3.2,23.0,29.0,0.5277777777777778,0.1584656150169634,0.1481044779945146,0.1688149887392783,0.0103611370224487,0.0103493737223149,0.0207105107447637,58714,0.13069403569062402
