theta_low,theta_high,p_low,p_high,mis_id,eff
15.0,16.666666666666668,1.0,1.4,0.05128205128205128,0.6666666666666666
15.0,16.666666666666668,1.4,1.8,0.0,0.47619047619047616
15.0,16.666666666666668,1.8,2.2,0.006535947712418301,0.32679738562091504
15.0,16.666666666666668,2.2,2.6,0.013110846245530394,0.41835518474374256
15.0,16.666666666666668,2.6,3.0,0.01471529110684581,0.5412667946257198
15.0,16.666666666666668,3.0,3.4000000000000004,0.024847632442569153,0.6544772620721988
15.0,16.666666666666668,3.4000000000000004,3.8000000000000003,0.0456245325355273,0.7097980553477936
15.0,16.666666666666668,3.8000000000000003,4.2,0.06326219512195122,0.7096036585365854
15.0,16.666666666666668,4.2,4.6,0.09494949494949495,0.7135353535353536
15.0,16.666666666666668,4.6,5.0,0.12506228201295466,0.6880916791230692
16.666666666666668,18.333333333333332,1.0,1.4,0.02564102564102564,0.6153846153846154
16.666666666666668,18.333333333333332,1.4,1.8,0.006134969325153374,0.4539877300613497
16.666666666666668,18.333333333333332,1.8,2.2,0.014084507042253521,0.29577464788732394
16.666666666666668,18.333333333333332,2.2,2.6,0.007583965330444204,0.457204767063922
16.666666666666668,18.333333333333332,2.6,3.0,0.019637462235649546,0.5861027190332326
16.666666666666668,18.333333333333332,3.0,3.4000000000000004,0.030072325846973735,0.6947087933003426
16.666666666666668,18.333333333333332,3.4000000000000004,3.8000000000000003,0.04350628424105704,0.7096358362874637
16.666666666666668,18.333333333333332,3.8000000000000003,4.2,0.06632302405498282,0.7285223367697594
16.666666666666668,18.333333333333332,4.2,4.6,0.09946949602122016,0.7029177718832891
16.666666666666668,18.333333333333332,4.6,5.0,0.1329268292682927,0.6408536585365854
18.333333333333332,20.0,1.0,1.4,0.009345794392523364,0.5046728971962616
18.333333333333332,20.0,1.4,1.8,0.0051813471502590676,0.42487046632124353
18.333333333333332,20.0,1.8,2.2,0.003424657534246575,0.3698630136986301
18.333333333333332,20.0,2.2,2.6,0.013527575442247659,0.43184183142559834
18.333333333333332,20.0,2.6,3.0,0.020477815699658702,0.601962457337884
18.333333333333332,20.0,3.0,3.4000000000000004,0.029559748427672956,0.6943396226415094
18.333333333333332,20.0,3.4000000000000004,3.8000000000000003,0.054381603480422626,0.6808576755748912
18.333333333333332,20.0,3.8000000000000003,4.2,0.07552182163187855,0.6922201138519924
18.333333333333332,20.0,4.2,4.6,0.10542797494780794,0.6586638830897703
18.333333333333332,20.0,4.6,5.0,0.12745812090313183,0.6365622723962127
