p_lo,p_hi,theta_lo,theta_hi,n_label,low_stat,baseline_eff_K,baseline_C_pi,baseline_C_p,baseline_n_accepted,bdt_cpi_at_matched_eff,bdt_cp_at_matched_eff,threshold_matched_eff,bdt_eff_at_matched_cpi,threshold_matched_cpi
0.5,1.4,5.0,15.0,233799,False,0.9256716377366692,0.12279019480394113,0.008165974497314545,164218,0.08185003400281064,0.00816980773671044,0.6631034482758617,0.9609301150959016,0.27674963953704546
0.5,1.4,15.0,25.0,418763,False,0.9254084862885459,0.12097479795869537,0.0070015292636241185,296221,0.07938428556190047,0.00691003050426208,0.6674295774647879,0.9616126979158693,0.25829874049070534
0.5,1.4,25.0,35.0,239055,False,0.951114136551035,0.07329988553578878,0.007801354311089678,199068,0.06383800711641599,0.007015752376964506,0.44140495867768614,0.9632756494148363,0.2755900752494477
1.4,2.3,5.0,15.0,516490,False,0.9382352681215143,0.19137012528629976,0.002357665910748359,400396,0.1367259231628267,0.002806448613074659,0.4094181818181821,0.973862588876342,0.1773031384160627
1.4,2.3,15.0,25.0,581782,False,0.9413893827787656,0.20852602988381483,0.0019168490153172867,457000,0.14686135179681256,0.0036408422244803514,0.38993660855784434,0.9765931738097209,0.15728933889788316
1.4,2.3,25.0,35.0,201478,False,0.9577072628801555,0.18750589066918003,0.00176181017359012,173685,0.1439725451985415,0.004471849240688948,0.26298387096774223,0.9807281455852324,0.13787734022792095
2.3,3.2,5.0,15.0,571546,False,0.5461955240153472,0.19108583825003697,0.004369558337863825,246478,0.055448539690433604,0.0011464843998057353,0.8996871161678195,0.9200862614674943,0.3503483934205445
2.3,3.2,15.0,25.0,493724,False,0.5641131915486006,0.18643425885788598,0.0056318594605318925,221774,0.05714303547258604,0.0019442747502420015,0.8927903642099226,0.9094027870625125,0.40600759461195574
2.3,3.2,25.0,35.0,113095,False,0.6200688044597343,0.14517161996088138,0.007488214571384809,58759,0.06288529022055535,0.0024626554755356207,0.852775351770985,0.8889141974354445,0.4597262640278212
