variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
theta,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.046416,1.3891e-09,108.019,49,2.20447,2.4825e-06,0.118214,0.411367,False,0.251003,0.0670384,0.0153933,0.293403,CANDIDATE,ok
theta,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.0134826,0.132707,51.1582,49,1.04404,0.388952,0.0631519,0.217963,False,0.0559271,0.0117449,0.00263507,0.127115,KEEP,ok
theta,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0471766,2.34599e-06,75.9844,49,1.5507,0.00803449,0.145632,0.642785,False,0.213322,0.0501565,0.0114548,0.219733,CANDIDATE,ok
theta,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.0396886,2.03775e-08,84.4291,49,1.72304,0.00124218,0.106346,0.32886,False,0.199099,0.051755,0.0103622,0.192062,CANDIDATE,ok
theta,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0283405,0.000209902,65.7729,49,1.3423,0.055026,0.094601,0.243589,False,0.146285,0.0328369,0.00533736,0.143732,KEEP,ok
theta,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.053212,0.0269002,56.2085,49,1.14711,0.223071,0.333054,1.48844,True,0.20918,0.0684788,0.0390504,0.408213,CANDIDATE,ok
theta,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0527197,6.62632e-19,140.142,49,2.86005,1.02644e-10,0.117507,0.325457,True,0.300814,0.0761561,0.0162619,0.267995,CANDIDATE,ok
theta,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0546216,3.44006e-08,76.4119,49,1.55943,0.00735067,0.222941,1.43203,True,0.276032,0.083932,0.0201453,0.510864,CANDIDATE,ok
theta,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.159615,0.212484,55.3752,36,1.5382,0.0204934,0.846877,3.69118,True,0.237113,0.190573,1.87603,71942.4,DROP,ok
phi,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.0327189,5.58823e-05,105.972,49,2.16269,4.4674e-06,0.146116,1.10188,False,5.35813,0.0298431,0.0116788,0.413067,CANDIDATE,ok
phi,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.0187112,0.0108198,98.6969,49,2.01422,3.36811e-05,0.10219,0.468535,False,3.15393,0.0175428,0.00596728,0.217002,KEEP,ok
phi,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0259343,0.0319772,43.7424,49,0.892703,0.685575,0.101605,0.363688,False,4.05325,0.0233589,0.00702862,0.179139,KEEP,ok
phi,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.0130409,0.272153,60.4335,47,1.28582,0.0902381,0.128398,0.681911,False,2.22804,0.0125415,0.00209907,0.138367,KEEP,ok
phi,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0175754,0.0587444,50.021,49,1.02084,0.432613,0.239338,5.38055,False,2.56507,0.0144612,0.00311922,0.134836,KEEP,ok
phi,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.0280184,0.58306,36.781,49,0.750632,0.900798,0.163898,0.470963,False,3.63494,0.0203531,0.0210478,0.326664,CANDIDATE,ok
phi,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0274548,1.93978e-05,77.6064,45,1.72459,0.00180875,0.121873,0.647195,False,3.73959,0.021095,0.00620427,0.168804,KEEP,ok
phi,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0175188,0.313714,58.3846,46,1.26923,0.104049,0.135262,0.848388,False,2.39747,0.013416,0.00850565,0.343884,CANDIDATE,ok
phi,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.128643,0.453492,58.0218,45,1.28937,0.0921445,0.576038,1.62222,True,25.8204,0.143286,0.345525,2.82014,DROP,ok
vz,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.174063,1.22787e-129,908.493,49,18.5407,1.23672e-158,0.533042,3.29337,True,0.810024,0.250913,0.195971,1.99054,DROP,ok
vz,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.0788407,1.19274e-40,486.062,49,9.91964,2.8812e-73,0.357473,1.77846,True,0.33483,0.116101,0.0678639,1.38734,CANDIDATE,ok
vz,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0472282,2.27704e-06,117.256,49,2.39298,1.59676e-07,0.243744,1.48811,False,0.167624,0.060421,0.0363343,0.692926,CANDIDATE,ok
vz,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.137946,2.98455e-97,744.693,49,15.1978,4.33716e-125,0.428957,2.25937,True,0.629318,0.202464,0.131627,1.58642,DROP,ok
vz,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0567756,2.18619e-16,289.176,49,5.90156,8.81572e-36,0.352489,1.64619,True,0.22082,0.0775618,0.0441535,1.07104,CANDIDATE,ok
vz,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.036342,0.264936,62.872,49,1.2831,0.0879817,0.36887,1.78744,False,0.127397,0.0464429,0.0534945,0.773577,CANDIDATE,ok
vz,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.116524,7.01043e-91,853.246,49,17.4132,2.81999e-147,0.467353,2.57046,True,0.526835,0.178139,0.114001,1.62141,CANDIDATE,ok
vz,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0571739,6.23169e-09,155.993,49,3.18353,4.38944e-13,0.333293,2.23427,True,0.220939,0.0798348,0.0413191,0.790317,CANDIDATE,ok
vz,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.161444,0.202812,52.7474,44,1.1988,0.171813,0.558789,1.62222,True,0.365333,0.128793,0.694128,2.82014,DROP,ok
sector,1,2,5,15,9585,9952,1,1,9585,9952,9585,9952,1,1,0,0.036259,5.12763e-06,37.3312,5,7.46625,5.13999e-07,0.0726263,0.188379,False,0.118992,0.0396638,0.00765238,0.188379,KEEP,ok
sector,1,2,15,25,13926,15954,1,1,13926,15954,13926,15954,1,1,0,0.0171756,0.0245826,17.728,5,3.5456,0.00330733,0.036553,0.103365,False,0.0540991,0.018033,0.00238106,0.103365,KEEP,ok
sector,1,2,25,35,5336,7162,1,1,5336,7162,5336,7162,1,1,0,0.0189153,0.220331,8.10369,5,1.62074,0.150613,0.042465,0.087586,False,0.0494183,0.0164728,0.00265726,0.087586,KEEP,ok
sector,2,3,5,15,10927,12503,1,1,10927,12503,10927,12503,1,1,0,0.00986007,0.618597,8.7755,5,1.7551,0.118361,0.0305388,0.0613127,False,0.0159707,0.00532355,0.0015055,0.0613127,KEEP,ok
sector,2,3,15,25,9727,13713,1,1,9727,13713,9727,13713,1,1,0,0.0153458,0.135633,7.31663,5,1.46333,0.198137,0.0308319,0.058908,False,0.0473865,0.0157955,0.00128464,0.058908,KEEP,ok
sector,2,3,25,35,1166,2124,1,1,1166,2124,1166,2124,1,1,0,0.013756,0.998423,1.68396,5,0.336792,0.890914,0.0377127,0.0858633,False,0.0209046,0.0069682,0.0022332,0.0858633,KEEP,ok
sector,3,5,5,15,15732,14867,1,1,15732,14867,15732,14867,1,1,0,0.0193587,0.00641324,18.563,5,3.7126,0.00231762,0.0441356,0.0813232,False,0.0499497,0.0166499,0.00242825,0.0813232,KEEP,ok
sector,3,5,15,25,5114,7182,1,1,5114,7182,5114,7182,1,1,0,0.0191684,0.218787,13.373,5,2.6746,0.0201233,0.0608915,0.120244,False,0.0426262,0.0142087,0.00446927,0.120244,KEEP,ok
sector,3,5,25,35,59,139,1,1,59,139,59,139,1,1,0,0.0849896,0.894561,2.16778,5,0.433555,0.825477,0.17791,0.51593,True,0.227777,0.0759257,0.0517211,0.51593,CANDIDATE,ok
