variable,p_lo,p_hi,theta_lo,theta_hi,n_mc,n_data,hit_frac_mc,hit_frac_data,n_total_mc_cell,n_total_data_cell,n_hit_mc_cell,n_hit_data_cell,hit_frac_mc_cell,hit_frac_data_cell,hit_frac_delta,ks_distance,ks_pvalue,chi2,ndof,chi2_per_ndof,chi2_pvalue,mean_rel_diff,max_abs_rel_diff,ks_flag,wasserstein,wasserstein_norm,psi,max_local_residual,drift_decision,status
nphe_htcc,3,5,25,35,3,11,0.0745352,0.0957409,59,139,3,11,0.0508475,0.0791367,0.0282892,0.242424,0.994505,8,7,1.14286,0.332594,0.666667,1,True,2.8322,1.1013,24.1343,90909.1,DROP,ok
nphe_ltcc,1,2,5,15,10,48,0.00171288,0.00635713,9585,9952,10,48,0.0010433,0.00482315,0.00377985,0.333333,0.256882,12.1696,10,1.21696,0.273866,0.444444,1,True,5.29044,4.04356,8.23183,62500,DROP,ok
nphe_ltcc,1,2,15,25,12,97,0.00171288,0.00635713,13926,15954,12,97,0.000861698,0.00607998,0.00521828,0.462199,0.0132653,40.017,15,2.6678,0.000450834,0.618597,0.765957,True,5.37338,4.08064,7.31916,61855.7,DROP,ok
nphe_ltcc,1,2,25,35,11,21,0.00171288,0.00635713,5336,7162,11,21,0.00206147,0.00293214,0.000870673,0.406926,0.11867,3.3939,4,0.848475,0.494193,0.547619,1,True,6.865,12.3076,15.1562,95238.1,DROP,ok
nphe_ltcc,2,3,5,15,22,76,0.00171288,0.00635713,10927,12503,22,76,0.00201336,0.00607854,0.00406518,0.160287,0.705962,15.7101,17,0.924122,0.544473,0.486412,1,True,3.2556,2.0207,3.18704,65789.5,DROP,ok
nphe_ltcc,2,3,15,25,8,84,0.00171288,0.00635713,9727,13713,8,84,0.000822453,0.00612557,0.00530312,0.255952,0.640306,23.4554,17,1.37973,0.135002,0.785366,1.2439,True,1.81015,0.811691,9.72849,59523.8,DROP,ok
nphe_ltcc,2,3,25,35,2,11,0.00171288,0.00635713,1166,2124,2,11,0.00171527,0.00517891,0.00346364,0.5,0.679487,7.47573,5,1.49515,0.187595,0.7,0.7,True,17.8438,11.9829,24.5398,90909.1,DROP,ok
nphe_ltcc,3,5,5,15,52,122,0.00171288,0.00635713,15732,14867,52,122,0.00330536,0.00820609,0.00490073,0.25,0.0166887,66.853,44,1.51939,0.0147256,0.604853,1.57143,True,0.124574,0.212807,0.856809,2.40984,DROP,ok
nphe_ltcc,3,5,15,25,8,46,0.00171288,0.00635713,5114,7182,8,46,0.00156433,0.0064049,0.00484057,0.184783,0.939127,38.8697,29,1.34033,0.104185,0.753247,1,True,0.0994246,0.163556,9.17219,65217.4,DROP,ok
nphe_ltcc,3,5,25,35,0,0,,,0,0,0,0,,,,,,,0,,,,,False,,,,,UNKNOWN,empty
pcal_energy,1,2,5,15,8617,8393,0.835328,0.773266,9585,9952,8617,8393,0.899009,0.843348,-0.0556608,0.250937,1.44222e-235,1419.06,49,28.9604,5.84585e-265,0.518589,1.84981,True,0.0389937,1.11134,0.412179,2.07043,DROP,ok
pcal_energy,1,2,15,25,12251,13350,0.835328,0.773266,13926,15954,12251,13350,0.879721,0.836781,-0.0429406,0.251314,0,2168.21,49,44.2493,0,0.527399,1.76638,True,0.0401358,1.13521,0.440463,2.20382,DROP,ok
