p_lo,p_hi,theta_lo,theta_hi,n_label,low_stat,baseline_eff_K,baseline_C_pi,baseline_C_p,baseline_n_accepted,bdt_cpi_at_matched_eff,bdt_cp_at_matched_eff,threshold_matched_eff,bdt_eff_at_matched_cpi,threshold_matched_cpi
0.5,1.4,5.0,15.0,233799,False,0.9256716377366692,0.12279019480394113,0.008165974497314545,164218,0.07618808808554343,0.010884479633131204,0.6560714285714285,0.9652645480183714,0.2579193771723095
0.5,1.4,15.0,25.0,418763,False,0.9254084862885459,0.12097479795869537,0.0070015292636241185,296221,0.07570186898308717,0.0077177930439248435,0.6469515669515665,0.964447705330461,0.2487262594452134
0.5,1.4,25.0,35.0,239055,False,0.951114136551035,0.07329988553578878,0.007801354311089678,199068,0.06410457874704875,0.007194202102474995,0.4443902439024396,0.9632384970102815,0.290169348826675
1.4,2.3,5.0,15.0,516490,False,0.9382352681215143,0.19137012528629976,0.002357665910748359,400396,0.13470426901559407,0.0024563012641973673,0.41301181102362206,0.9751320191218102,0.16281456188808066
1.4,2.3,15.0,25.0,581782,False,0.9413893827787656,0.20852602988381483,0.0019168490153172867,457000,0.1443093480592689,0.0032154481050350875,0.39017452006980763,0.9777392034378695,0.14503008344170906
1.4,2.3,25.0,35.0,201478,False,0.9577072628801555,0.18750589066918003,0.00176181017359012,173685,0.1419294666299757,0.003834273791925098,0.2728819444444448,0.9823417960203712,0.12789557085886452
2.3,3.2,5.0,15.0,571546,False,0.5461955240153472,0.19108583825003697,0.004369558337863825,246478,0.05303491507608174,0.000928357839977583,0.899453253928392,0.9206079442851268,0.37260855828026335
2.3,3.2,15.0,25.0,493724,False,0.5641131915486006,0.18643425885788598,0.0056318594605318925,221774,0.05578241377553528,0.0017114370751876982,0.8954522634089198,0.9101189690217334,0.41907983337887234
2.3,3.2,25.0,35.0,113095,False,0.6200688044597343,0.14517161996088138,0.007488214571384809,58759,0.06186787120567049,0.002199750753560212,0.8461773172135867,0.8938095180211132,0.46608380574282254
